???,-90,-90,-90,-90,-90
person,-90,-90,-90,-90,-90
bicycle,-90,-90,-90,-90,-90
car,-90,-90,-90,-90,-90
motorcycle,-90,-90,-90,-90,-90
airplane,-90,-90,-90,-90,-90
bus,-90,-90,-90,-90,-90
train,-90,-90,-90,-90,-90
truck,-90,-90,-90,-90,-90
boat,-90,-90,-90,-90,-90
traffic light,-90,-90,-90,-90,-90
fire hydrant,-90,-90,-90,-90,-90
???,-90,-90,-90,-90,-90
stop sign,-90,-90,-90,-90,-90
parking meter,-90,-90,-90,-90,-90
bench,-90,-90,-90,-90,-90
bird,-90,-90,-90,-90,-90
cat,0,20,20,20,20
dog,0,20,20,20,20
horse,0,20,20,20,20
sheep,0,20,20,20,20
cow,0,20,20,20,20
elephant,0,10,10,10,10
bear,0,20,20,20,20
zebra,0,20,20,20,20
giraffe,0,20,20,20,20
???,-90,-90,-90,-90,-90
backpack,40,30,30,30,30
umbrella,30,40,40,40,40
???,-90,-90,-90,-90,-90
???,-90,-90,-90,-90,-90
handbag,10,40,40,40,40
tie,40,40,10,0,-10
suitcase,10,40,40,40,40
frisbee,40,40,10,0,-10
skis,40,40,40,40,40
snowboard,40,40,40,40,40
sports ball,40,40,40,40,40
kite,40,40,40,30,20
baseball bat,40,40,40,40,40
baseball glove,40,20,20,20,20
skateboard,40,20,20,20,20
surfboard,40,20,20,20,20
tennis racket,40,40,40,40,40
bottle,40,40,40,40,40
???,-90,-90,-90,-90,-90
wine glass,40,40,40,40,40
cup,40,40,40,40,40
fork,20,-30,0,30,30
knife,20,-30,0,30,30
spoon,20,-30,0,30,30
bowl,40,40,10,0,-10
banana,20,40,40,40,40
apple,40,40,40,40,40
sandwich,40,20,20,20,20
orange,40,40,40,40,40
broccoli,40,40,40,40,40
carrot,30,40,40,40,40
hot dog,0,20,20,20,20
pizza,40,40,10,0,-10
donut,0,20,20,20,20
cake,-90,-90,-90,-90,-90
chair,10,10,10,10,10
couch,10,10,10,10,10
potted plant,10,10,10,10,10
bed,10,10,10,10,10
???,-90,-90,-90,-90,-90
dining table,10,10,10,10,10
???,-90,-90,-90,-90,-90
???,-90,-90,-90,-90,-90
toilet,-80,-80,-80,30,30
???,-90,-90,-90,-90,-90
tv,40,-90,40,40,40
laptop,40,40,10,0,-10
soccer ball,40,40,40,40,40
keyboard,40,-90,40,40,40
remote,40,40,10,0,-10
mouse-30,-80,-80,-70,-50
microwave,40,-90,40,40,40
oven,40,-90,40,40,40
toaster,40,-90,40,40,40
sink,-90,-90,-90,-90,-90
refrigerator,20,40,40,40,40
???,-90,-90,-90,-90,-90
book,40,40,10,0,-10
clock,40,40,10,0,-10
vase,40,40,40,40,40
scissors,-50,-80,40,40,40
teddy bear,40,40,40,40,40
hair drier,20,40,40,40,40
toothbrush,20,40,40,40,40
